,location,specific_location,features,bed,bath,toilet,description,price,category,property_code,date_posted/updated,service_level,key_features,detail_description
0,ajah,Cooperative VillaBadore Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Standard self-contained,250000,Premium Gold,7ENVK,"Updated 21 Apr 2021, Added 16 Apr 2021",,1 Bedroom,1 bedroom mini flat Flat / Apartment for rent Cooperative Villa Badore Ajah Lagos
1,ajah,Pearl Gardens EstateSangotedo Ajah Lagos,4 beds 5 baths 6 Toilets,4,5,6,Newly Renovated 4 bedroom Detached Duplex with boys quarter,2000000,Premium Gold,4EJRT,"Updated 21 Apr 2021, Added 02 Mar 2021",,4 Bedroom,"FOR RENT: Newly Renovated 4 bedroom Detached Duplex with boys quarter at Pearl Gardens Estate, Monastery Road, Sangotedo, Lagos.

FEATURES:
- Newly Renovated
- All room en suite with bathtubs/ shower cubicle and water heater
- Guest toilet at the sitting room
- Already installed prepaid metre
- Estate comprises of beautiful functional homes with great finishing and beautiful landscapes
- Good road with well connected drainage network
- Floor finished with vitrified tiles
- Large sitting room (down) with family lounge (up)
- Separate dining area
- Nice POP ceiling finishing
- Round-the-clock security
- About 5 minutes drive from Lagos Business School
- About 10 minutes drive from Victoria Garden City (VGC)
- One year rent acceptable

RENT: N2million per annum

For further details/ arrangement for inspection, please contact:

BLUEHEDGE REALTORS"
2,ajah,Sangotedo Ajah Lagos,1 beds 1 baths 2 Toilets,1,1,2,A lovely serviced mini flat,800000,Premium Gold,2ENYL,"Updated 21 Apr 2021, Added 18 Apr 2021",Serviced,"1 Bedrooms
Serviced","A lovely serviced Mini flat in a well serene
and secured environment
*Rent 800k
*Caution 80k
*Agency 80k
*Legal 80k
*Each flat has a prepaid metre.
*Separate metre for lighting and pumping water
* There will be generator for pumping of water
* There will be a cleaner to clean common area and staircase
* Security men
Service charge 150k"
3,ajah,Off mobil roadIlaje Ajah Lagos,3 beds 3 baths 3 Toilets,3,3,3,A newly built 3 bedroom terrace duplex,1900000,Premium Gold,8ENDZ,"Updated 21 Apr 2021, Added 09 Apr 2021",Serviced Newly Built,"POP Ceiling
Water Treatment
Parking Space
24 Hours Security
All Room Ensuit
Big Compound
3 Bedrooms
New
Serviced","A Newly built 3 bedroom terrace duplex off Mobil road lekki.
Rent: N1.9m/annum"
4,ajah,Lekki Gardens Estate Ajah Lagos,4 beds 5 baths 5 Toilets,4,5,5,Newly built 4bedroom duplex,3000000,Premium Gold,1EFPH,"Updated 21 Apr 2021, Added 27 Jan 2021",Serviced Newly Built,"4 Bedrooms
New
Serviced","L

4 Bedrooms Semi Detached Duplex with Bq for sale.

Location??: Ajah

??Features:

??Detailed Finishing
??Brand new
??Clean water
??Secured estate
??Good Compound space
??Fully Fitted Kitchen
??Serenity
??Water Heaters
??Pop Ceiling
??Jacuzzi

Price: N45M

Title??: Governor's Consent

Contact Timmy Joe

??[redacted]

#lekkicountyhomes #lekkiproperties #lekkiajahikoyi #lekkihomes #ajahproperties #lekkiphase1properties #Ibejulekkiproperty #Ibejulekkiestates #realestateconsultantinlagos #realestateinvestment"
5,ajah, Lakowe Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,3 Bedroom Bungalow,750000,Premium Gold,2EFXB,"Updated 20 Apr 2021, Added 31 Jan 2021",,3 Bedroom,"FOR RENT: Strategically Located 3 Bedroom Detached Bungalow at Lakowe, Lagos.

FEATURES:
- Modern, top-notch quality fittings/ fixtures
- All Rooms En-suite
- Large sitting rooms
- Contemporary Architecture
- Strategic Location
- Spacious master bedroom
- Spacious and Fitted kitchen
- Solid security doors covering all entry points
- CCTV camera installed round the house
- The finishing is top-notch (It is a must-see)
- One year rent acceptable

RENT: N750,000 per annum

Instagram: bluehedgerealtors"
6,ajah,Thomas Estate Ajah Lagos,5 beds 5 baths 6 Toilets,5,5,6,5 bedrooms fully detached duplex with bq,3500000,Premium Gold,3DYHR,"Updated 20 Apr 2021, Added 15 Oct 2020",,5 Bedroom,"[08:00, 15/10/2020] Olakitan: It’s 5 bedrooms fully detached duplex with bq

3.5mil

Ajah
Thomas Estate
Code : honor210"
7,ajah,Off Addo RoadAjah Lagos,4 beds 4 baths 6 Toilets,4,4,6,Tastefully 4bedroom flat duplex,2200000,Premium,9EPLG,Added 23 Apr 2021,Furnished Serviced Newly Built,"Boys Quater
Governor's Consent
Fast Internet
Survey
Jacuzzi
Excision
Parking Space
C of O
Big Compound
4 Bedrooms
New
Serviced
Furnished","Tastefully 4bedroom duplex for rent in a secure estate interlocked estate, interlocked compound wardrobe fitted kitchen cabinet pop standard security."
8,ajah,"Alhaji Tolani Bakare, Warike AbijoAbijo Ajah Lagos",3 beds 3 baths 4 Toilets,3,3,4,Newly Built Three Bedroom Flat,800000,Premium,1CBMM,"Updated 23 Apr 2021, Added 05 Mar 2019",Newly Built,"Parking Space
Drainage System
Big Compound
3 Bedrooms
New","Newly Built Three Bedroom Flat, well finished with guest toilet."
9,ajah,Ajah Lagos,2 beds 2 baths 3 Toilets,2,2,3,"Premium Brand New 1, 2 and 3 Mid Luxury Apartments",,Sponsored,8EAUY,"Updated 20 Apr 2021, Added 20 Nov 2020",Serviced Newly Built,"2 Bedrooms
Serviced
New","FOR SALE: Premium Brand New 1, 2 and 3 Mid Luxury Apartments at Ajah, Lekki, Lagos.

DESCRIPTION:
This is a Brand New premium Apartments built with lovely and superb finishing that speaks luxury with strategic location in Ajah, Lekki, Lagos. This is a good deal, perfect for your family with fantastic and state-of-the-art finishing, scenic view, child friendly environment, amongst several other unique features.

FEATURES
- Brand New
- Landscaped Ground
- All Rooms Ensuite
- Interlocked Floor
- Children’s Playground
- Club House
- Solid security doors
- Gate House
- POP ceiling
- Large sitting area
- Modern Architecture
- CCTV Cameras
- Fitted Kitchen
- Water Heaters
- 24hours Power Supply
- Clean Portable Water
- 24hours Secuirty
- Installmental Payment Available
- Mortgage Option Available

- Title: Certificate of Occupancy (C of O)

PRICE: 1 Bedroom – N13million ($29k)
2 Bedroom - N23million ($52k)
3 Bedroom - N28million ($63k)


Instagram: @bluehedgerealtors"
10,ajah,BadoreBadore Ajah Lagos,2 beds 2 baths 2 Toilets,2,2,2,Newly built 2bedroom flat,1100000,Premium,3ENCZ,"Updated 23 Apr 2021, Added 08 Apr 2021",Newly Built,"Governor's Consent
POP Ceiling
Security
Water Treatment
Survey
Parking Space
24 Hours Security
Security doors
All Room Ensuit
CCTV Cameras
C of O
Big Compound
2 Bedrooms
New",Newly build for rent in a secure estate interlocked compound
11,ajah,BadoreBadore Ajah Lagos,2 beds 2 baths 3 Toilets,2,2,3,Newly build 6 block 2bedroom flat,1000000,Premium,1ENF,"Updated 23 Apr 2021, Added 09 Apr 2021",Newly Built,"Governor's Consent
POP Ceiling
Security
Water Treatment
Street Lights
Supermarket Nearby
Parking Space
24 Hours Security
Security doors
Drainage System
All Room Ensuit
2 Bedrooms
New",The Newly build apartment located in a secure estate interlocked estate and compound of the new building is available now
12,ajah,Addo lamgbasaAjah Lagos,2 beds 2 baths 3 Toilets,2,2,3,Newly build 4 block 2bedroom flat,900000,Premium,1ENTJ,"Updated 23 Apr 2021, Added 15 Apr 2021",Furnished Newly Built,"Governor's Consent
Security
POP Ceiling
Supermarket Nearby
Parking Space
24 Hours Security
Security doors
Drainage System
All Room Ensuit
Big Compound
C of O
2 Bedrooms
New
Furnished","Newly build 2bedroom apartment located in a secure estate with standard security. The compound interlock
Wardrobes fitted kitchen cabinet
Features."
13,ajah,BadoreBadore Ajah Lagos,1 beds 2 baths 2 Toilets,1,2,2,Luxury Mini Flat,1000000,Premium,6ENZB,"Updated 23 Apr 2021, Added 19 Apr 2021",Furnished Newly Built,"1 Bedrooms
New
Furnished","Newly build apartment Mini Flat located in a secure estate interlocked compound wardrobe fitted kitchen cabinet, the owner take 2yr rent which is 2m. Is available now. Total package 2.6m for 2yrs"
14,ajah,BadoreBadore Ajah Lagos,1 beds 2 baths 2 Toilets,1,2,2,Luxury Mini Flat,700000,Premium,2EPBQ,"Updated 23 Apr 2021, Added 20 Apr 2021",Furnished Newly Built,"Governor's Consent
POP Ceiling
Security
Water Treatment
Parking Space
24 Hours Security
Security doors
All Room Ensuit
Drainage System
C of O
Big Compound
1 Bedrooms
New
Furnished",Brand New mini flat located in a secure estate interlocked compound kitchen cabinet with spacious parlour is available now
