,location,specific_location,features,bed,bath,toilet,description,price,category,property_code,date_posted/updated,service_level,key_features,detail_description
0,surulere,Lawanson Surulere Lagos,2 beds baths Toilets,2,0,0,a lovely 2 bedroom apartment available at Lawason Surulere (2 years rent demanded),700000,Premium,6EPHZ,Added 22 Apr 2021,,2 Bedroom,"a lovely 2 bedroom apartment available at Lawason Surulere (2 years rent demanded)

rent: 700k times 2 years"
1,surulere,BaiyeOgunlana Surulere Lagos,2 beds 2 baths 3 Toilets,2,2,3,Refurbished 2 bedroom flat,900000,Premium,5EPBA,"Updated 22 Apr 2021, Added 19 Apr 2021",,2 Bedroom,"Lovely renovated apartment, just two in the compound with ample carpark."
2,surulere,Cole streetLawanson Surulere Lagos,2 beds 2 baths 3 Toilets,2,2,3,Lovely New 2bed at surulere,750000,Premium,2EPGE,"Updated 22 Apr 2021, Added 21 Apr 2021",,2 Bedroom,"Lovely brand new apartment exquisitely furnished with all room en-suite,"
3,surulere,Off Adeniran ogunsanya surulereAdeniran Ogunsanya Surulere Lagos,beds baths Toilets,0,0,0,Massive 3Bedroom plus mini flat self compound for lease,3500000,Premium,7EPGT,Added 22 Apr 2021,,,"Massive 3Bedroom by bungalow plus A massive room and parlour self contained in a serene environ very suitable for residential and commercial for long lease
Price:#3.5mil per annum
Duration: 5-10years down payment
Contact Mr Osisanya kolawole"
4,surulere,Off oseni lawansonLawanson Surulere Lagos,2 beds 2 baths 3 Toilets,2,2,3,Lovely spacious 2bedroom flat upstairs just 3 occupants,700000,Premium,3EPG,Added 21 Apr 2021,,2 Bedroom,"Lovely spacious 2 bedroom flat upstairs with all rooms ensiite and visitors toilet just 3 people in the compound
Borehole water
Prepaid meter
Spacious compound"
5,surulere,Lawanson Surulere Lagos,2 beds baths Toilets,2,0,0,A lovely exquisite 2bedroom @ lawanson,800000,Premium,7EPFB,Added 21 Apr 2021,,2 Bedroom,"JUST OUT:*

Lovely 2bedroom flat all rooms ensuite located at Lawanson Surulere.


Upstair, POP, prepaid metre, car park, dinning, water heater, gated compound and security guard.

Price: 800k a year rent.
2years rent required.
A year and half might fly."
6,surulere,Lawanson Surulere Lagos,1 beds baths Toilets,1,0,0,A standard miniflat @ lawanson surulere,500000,Premium,0EPFB,Added 21 Apr 2021,,1 Bedroom,"Mini flat 500k has water, borehole water at lawanson no parking space a yr.
Easily accessible to anywhere
Total package 750k"
7,surulere,"OFF Ameh Street ,off Ogunlauna Drive , SurulereOgunlana Surulere Lagos",2 beds 3 baths 3 Toilets,2,3,3,SUPER AND DECENT 2 BEDROOM flat,700000,Premium,0EEXG,"Updated 21 Apr 2021, Added 19 Jan 2021",,2 Bedroom,"Luxury and Executive 2 bedroom flat with treated bore hole water and Ample parking, War-drops in all rooms , up and down stairs, kitchen cabinets and Italian Mable floors, balconies front and Back, Pop, lightened up, screed-ed walls,serene neighborhood, and excellent proximity to island, ....all going 700K x 1 and 6 months rent only.. .located at Ameh street off Olufemi by Ogunlauna drive SURULERE"
9,surulere,Ekololu street off ogunlana driveOgunlana Surulere Lagos,1 beds 1 baths 1 Toilets,1,1,1,Big roomselfcontain,400000,Premium,0EKPU,"Updated 21 Apr 2021, Added 11 Mar 2021",,,
10,surulere,CENTRAL IKOYI Old Ikoyi Ikoyi Lagos,4 beds 4 baths 5 Toilets,4,4,5,PRINCE ADEMOLA OSINUGA SPECIALS! MOST MAGNIFICENT TOPMOST FLOOR 4 BEDROOM APARTMENT IN IKOYI YET! PERIOD! @$3.5M,,Sponsored,6ELAQ,"Updated 22 Apr 2021, Added 16 Mar 2021",Serviced Newly Built,"4 Bedrooms
Serviced
New","STRICTLY FOR DIRECT CASH READY BUYERS ONLY.

PLEASE CONTACT PRINCE ADEMOLA OSINUGA IF YOU HAVE THE FINANCIAL CAPACITY TO UNDERTAKE IMMEDIATELY. THANK YOU

SALE PRICE: $3,500,000

IN YOUR BEST INTEREST CALL PRINCE ADEMOLA OSINUGA TO BUY NOW"
18,surulere,Alhaji tokan street alaja estateAlaka Estate Surulere Lagos,1 beds 1 baths 1 Toilets,1,1,1,Miniflat,800000,Premium,8EEHA,"Updated 21 Apr 2021, Added 12 Jan 2021",,,
19,surulere,Ojuelegba Surulere Lagos,beds baths Toilets,0,0,0,Shop Space in a Newly Built Plaza,200000,Premium,1EKTX,"Updated 21 Apr 2021, Added 13 Mar 2021",,,"Shop Spaces in a Newly Built Shopping Plaza at Ojuelegba Surulere.

Prices: N500k, N250k and N200k per annum. Upstairs and Downstairs."
21,surulere,Off Cole street by olufemi ogunlana driveLawanson Surulere Lagos,1 beds 1 baths 1 Toilets,1,1,1,Newly built miniflat,500000,Premium,1EMKK,"Updated 21 Apr 2021, Added 31 Mar 2021",,,
22,surulere,Eric Moore Surulere Lagos,beds baths Toilets,0,0,0,2 office space inside Con Oil Filling Station at Eric Moore,600000,Premium,6EJAB,"Updated 21 Apr 2021, Added 23 Feb 2021",,,"2 office space inside Con Oil Filling Station at Eric Moore, Surulere for N600k for each"
23,surulere,Hassan idowu street off adetola aguda by Sanya expressAguda Surulere Lagos,4 beds 4 baths 4 Toilets,4,4,4,Big warehouse,3000000,Premium,6EETQ,"Updated 21 Apr 2021, Added 18 Jan 2021",,,
24,surulere,Olatunde onimole street by ayetoro junctionAguda Surulere Lagos,beds baths Toilets,0,0,0,Standard shop,180000,Premium,1EKWW,"Updated 21 Apr 2021, Added 15 Mar 2021",,,
25,surulere,Off Shaki crescentAguda Surulere Lagos,4 beds 5 baths 5 Toilets,4,5,5,4bedroom detached duplex +BQ and Security House,1200000,Premium,5EKVN,"Updated 21 Apr 2021, Added 14 Mar 2021",,,
26,surulere,"BY AKANBI CRESCENT OFF FASHORO , SURULERE LAGOSOjuelegba Surulere Lagos",5 beds 4 baths 4 Toilets,5,4,4,Executive 5 brdroom Duplex ( NEWLY RENOVATED)ALL EN-WARDROPS TOILET,1500000,Premium,3EDAC,"Updated 21 Apr 2021, Added 18 Dec 2020",Furnished,"5 Bedrooms
Furnished","Property Description

Super and Executive 5 bedroom DUPLEX with 1 store and a study room , both in the kitchen and upstairs, 4 toilets ,2 rooms en-suit with visitors toilet, treated bore hole water and Ample parking space, up stairs, kitchen cabinets with store, War-drops in all rooms, Very standard ROOMS / spacious staircase,floored compound, Italian Mable floor, beautiful light fittings, serene neighborhood, excellent proximity to island, balconies, etc . 1.5 million X 1 yr ....located at Akanbi cresacent by fashoro Surulere"
