,location,specific_location,features,bed,bath,toilet,description,price,category,property_code,date_posted/updated,service_level,key_features,detail_description
0,yaba, Abule Ijesha Yaba Lagos,1 beds 1 baths 2 Toilets,1,1,2,"Newly built pop finished mini flat with 2 toilets , up flat , well gated",700000.0,Premium Gold,1ENKM,"Updated 21 Apr 2021, Added 12 Apr 2021",Newly Built,"1 Bedrooms
New","Newly built pop finished mini flat with 2 toilet , up flat , well gated, situated in abule ijesha yaba
Rent 700k per annum"
1,yaba,Off St Finbars RoadAkoka Yaba Lagos,3 beds 2 baths 3 Toilets,3,2,3,"A Very Spacious & Strongly Built 3bd Flat @ Akoka, Yaba, Lagos.",1000000.0,Premium,0EPHJ,Added 22 Apr 2021,,3 Bedroom,"A Very Spacious & Strongly Built 3bd Flat @ Akoka, Yaba, Lagos, with 3toilets and Bath, in a block 6flats, 1st floor, front flat, with a fitted wardrobes, kitchen cabinets n cupboard, situated in a calm n conducive environment with Terrazzo floors, fenced Round with gate n 1 Dedicated parking space, easy access road to Herbert Macaulay way, #1M x a year.

Pls Contact: ZEEZCONSULT PROPERTIES MGT: [redacted]/ [redacted]/ [redacted].

Many thanks for your usual patronage!!!"
2,yaba,"Akoka, Yaba, Lagos.Akoka Yaba Lagos",3 beds 3 baths 4 Toilets,3,3,4,Lovely Newly Built Modern 3 Bedroom Ensuite Flat,1800000.0,Premium,9EPGV,Added 22 Apr 2021,,3 Bedroom,"Available for immediate letting, new top class tasetefully finished and spacious 3 bedroom apartment;

Location: Akoka, Yaba.

RENT : #1.8M
MTENANCE :#150K
CAUTION : #150K"
3,yaba,Borno Way Alagomeji Yaba Lagos,2 beds 2 baths 3 Toilets,2,2,3,Executive Lovely 2 Bedroom Flat @ Alagomeji Yaba,1500000.0,Premium,7EPGL,Added 22 Apr 2021,Furnished Serviced,"2 Bedrooms
Serviced
Furnished","This is a lovely Executive 2 Bedroom Flat @ Alagomeji Yaba. It is well furnished with well made wardrobe and a nice kitchen cabinet with with all the Rooms En-suite with Guest Toilet, Borehole Water, Parking Space, Quiet Neighborhood, Prepaid Meter.
Rent 1.5M per Year.
Please Call ASAP if you are interested.
It is located in a nice and secured environment with an accessible road network"
4,yaba,Akoka Yaba Lagos,3 beds baths Toilets,3,0,0,Lovely 3bedroom with all rooms ensuit,1800000.0,Premium,3EPGL,"Updated 22 Apr 2021, Added 22 Apr 2021",,3 Bedroom,"To Let:

Lovely 3Bedroom flat with all rooms En-suite + Guest Convenient.
Big Living Room and Dining,
Prepaid Meter, Borehole Water, POP, Chandler, Water Heater,Wardrobes, Shoe Rack, Fitted Kitchen,Interlocked Floor, Car Park.
Corporate Yoruba Young Couples Only.
Up Floor Available.
Location: Afolabi Brown Street, AKoka, Yaba.
Rent: N1.8million per annum
Refundable Caution: 150k
Service Charge: 150k
Legal: 10%"
5,yaba,Folagoro Abule Ijesha Yaba Lagos,1 beds 1 baths 2 Toilets,1,1,2,Executive Lovely Mini flat,600000.0,Premium,1ENVX,"Updated 22 Apr 2021, Added 17 Apr 2021",Furnished Serviced,"1 Bedrooms
Serviced
Furnished","This is a lovely Miniflat @ Yaba. It is fenced round with gate, Borehole Water, Prepaid Meter, Quiet Neighborhood, Easy Accessibility, Wardrobe, Security Guard, Prepaid Meter.
Rent 700k per year. It comes with 2 Toilet and Bath.
Please Call [redacted] immediately if you are interested in the apartment.
It is located in a nice and secured environment with an accessible road network"
6,yaba,Moleye Alagomeji Yaba Lagos,3 beds 3 baths 4 Toilets,3,3,4,Lovely Serviced 3 Bedroom Flat @ Alagomeji Yaba,1750000.0,Premium,9ENXS,"Updated 20 Apr 2021, Added 18 Apr 2021",Furnished Serviced,"3 Bedrooms
Serviced
Furnished","This is a lovely Serviced 3 Bedroom Flat @ Alagomeji Yaba. It is well furnished with well made wardrobe and a nice kitchen cabinet with all the Rooms En-suite With Guest Toilet, Parking Space, Borehole Water, Quiet Neighborhood.
Rent 1,750,000 per year and Serviced Charge of 250k per year.
Please Call [redacted] ASAP if you are interested.
It is located in a nice and secured environment with an accessible road network"
7,yaba,Sholanke Akoka Yaba Lagos,0 beds 0 baths 1 Toilets,0,0,1,Lovely Newly Built Self Contain,350000.0,Premium,2ENXT,"Updated 22 Apr 2021, Added 18 Apr 2021",Newly Built,New,"This is a lovely Newly Built SelfContain @ Akoka Yaba. It is fenced round with gate, Borehole Water, Quiet Neighborhood, Upstairs and ground floor available. It comes with A Toilet, Bath and kitchen.
Rent 350k per Annum and owner wants 1 Year and 6 Months.
Please Call [redacted] ASAP if interested Or Please call if you have any question.
It is located in a nice and secured environment with an accessible road network"
8,yaba,Iwaya Onike Yaba Lagos,1 beds 1 baths 1 Toilets,1,1,1,Lovely Spacious Miniflat @ Yaba,700000.0,Premium,0EPDZ,"Updated 22 Apr 2021, Added 21 Apr 2021",,1 Bedroom,"This is a lovely Newly Renovated Miniflat @ Onike Iwaya Yaba. It is fenced round with gate, Borehole water, easy access to the road, quiet compound, Good Electricity.
Rent 700k per year. Please Call [redacted] ASAP if interested or if you have any other question.
It is located in a nice and secured environment with an accessible road network"
9,yaba,Epe Road Epe Lagos,beds baths Toilets,0,0,0,"Affordable Dry Lands at Serenity Gardens Estate 2, Epe, Lagos.",,Sponsored,6ENMT,Added 13 Apr 2021,,"Drainage System
Survey
Governor's Consent
Security
Excision","Serenity Gardens Estate 2 is a developed estate located inside Epe main Town in a very serene environment with close proximity to Epe Spa and Resorts, Alaro City, banks, markets, schools and various other developments. Some of the features of this amazing vicinity includes; Tarred roads, street light, clean portable water, drainage systems, perimeter fencing and a host of central sewage systems. Serenity Gardens set a high level benchmark in service delivery, infrastructures, eco-friendliness, functionality and loftiness. Saddled with Individual housing typologies of contemporary architecture.

The demographics of the area include a majority of Yoruba speaking natives, and people from different parts of the country living, working and doing business in the area. Epe town has potential for tourism as it is endowed with beautiful lagoon views and ocean fronts that will marvel your sight. The area is fast developing as investors and prospective land buyers are already building their homes and properties rapidly being one of the reasons why lands are constantly appreciating fast in the area.

Epe main town is a central hub for business, manufacturing, warehousing, and logistics. Forecasts have been made about an increase in commercial activities in this city as a result of these developments which will create thousands of jobs in the earnest future."
